g_loss: 0.6622762084007263, d_loss: 1.0427242517471313
g_loss: 0.9528046250343323, d_loss: 1.1862561702728271
g_loss: 1.8666921854019165, d_loss: 2.1861629486083984
g_loss: 1.0876572132110596, d_loss: 1.7030789852142334
g_loss: 1.1972193717956543, d_loss: 1.0120611190795898
g_loss: 0.7114480137825012, d_loss: 1.1467812061309814
g_loss: 1.5635238885879517, d_loss: 0.8492165207862854
g_loss: 0.9954574108123779, d_loss: 0.7917966842651367
g_loss: 2.953887701034546, d_loss: 0.6714850068092346
g_loss: 0.9551737308502197, d_loss: 0.6534391641616821
g_loss: 1.8290889263153076, d_loss: 1.093529462814331
g_loss: 0.8316499590873718, d_loss: 0.18254543840885162
g_loss: 1.3715341091156006, d_loss: 1.42763090133667
g_loss: 3.562832832336426, d_loss: 1.17304527759552
g_loss: 1.5921729803085327, d_loss: 0.21929126977920532
g_loss: 2.618361234664917, d_loss: 1.3539047241210938
g_loss: 3.1090259552001953, d_loss: 0.1681458204984665
g_loss: 1.0705418586730957, d_loss: 1.006044626235962
g_loss: 1.2817213535308838, d_loss: 0.8140904307365417
